Position,Bib,PointsKOM,ApresEtape
1,63,7,1
2,24,6,1
3,101,5,1
4,45,2,1
1,24,13,2
2,45,11,2
3,63,7,2
4,101,5,2
5,73,5,2
6,76,5,2
7,22,2,2
8,33,2,2
1,24,13,3
2,45,11,3
3,63,7,3
4,101,5,3
5,73,5,3
6,76,5,3
7,22,2,3
8,33,2,3
1,24,13,4
2,45,11,4
3,63,7,4
4,101,5,4
5,73,5,4
6,76,5,4
7,22,2,4
8,33,2,4
