etape,dist,elev
1,-3,290
1,-2.989481152993359,290
1,-2.9789623059867183,290
1,-2.9789623059867183,290
1,-2.968443458980077,290
1,-2.957924611973436,290
1,-2.9474057649667955,290
1,-2.9368869179601544,290
1,-2.9263680709535134,290
1,-2.9158492239468727,290
1,-2.9053303769402317,290
1,-2.8948115299335906,290
1,-2.8948115299335906,290
1,-2.88429268292695,290
1,-2.873773835920309,290
1,-2.873773835920309,290
1,-2.863254988913668,290
1,-2.852736141907027,290
1,-2.852736141907027,290
1,-2.8422172949002893,290
1,-2.8316984478936487,290
1,-2.8211796008870076,290
1,-2.8106607538803665,290
1,-2.8001419068737254,290
1,-2.789623059867085,290
1,-2.7791042128604437,290
1,-2.768585365853803,290
1,-2.768585365853803,290
1,-2.758066518847162,290
1,-2.747547671840424,290
1,-2.7370288248337835,290
1,-2.7265099778271424,290
1,-2.715991130820502,290
1,-2.7054722838138607,289
1,-2.6949534368072197,289
1,-2.6949534368072197,289
1,-2.6844345898005786,288
1,-2.673915742793938,288
1,-2.6633968957872005,288
1,-2.6528780487804626,287
1,-2.642359201773822,286
1,-2.631840354767181,286
1,-2.62132150776054,285
1,-2.610802660753899,285
1,-2.610802660753899,285
1,-2.600283813747258,285
1,-2.589764966740617,285
1,-2.579246119733976,285
1,-2.5687272727273354,284
1,-2.5582084257205975,285
1,-2.547689578713957,285
1,-2.5371707317073158,284
1,-2.5266518847006747,284
1,-2.5266518847006747,284
1,-2.516133037694034,284
1,-2.505614190687393,284
1,-2.4950953436807524,284
1,-2.4845764966741113,283
1,-2.47405764966747,283
1,-2.4635388026607328,283
1,-2.4530199556540917,283
1,-2.4530199556540917,283
1,-2.4425011086474506,282
1,-2.43198226164081,283
1,-2.421463414634169,283
1,-2.410944567627528,283
1,-2.400425720620887,282
1,-2.389906873614246,282
1,-2.3793880266076055,282
1,-2.3688691796009644,282
1,-2.3583503325942266,283
1,-2.3583503325942266,283
1,-2.3478314855875855,283
1,-2.337312638580945,284
1,-2.3267937915743038,284
1,-2.316274944567663,283
1,-2.305756097561022,283
1,-2.295237250554381,283
1,-2.2847184035477404,283
1,-2.2847184035477404,283
1,-2.2741995565410993,283
1,-2.2636807095344587,284
1,-2.2636807095344587,284
1,-2.2531618625278176,285
1,-2.2426430155211765,285
1,-2.2321241685145354,286
1,-2.2216053215078944,286
1,-2.211086474501157,286
1,-2.2005676274945163,286
1,-2.2005676274945163,286
1,-2.190048780487875,286
1,-2.179529933481234,287
1,-2.1690110864745935,288
1,-2.1584922394679524,288
1,-2.147973392461312,288
1,-2.1374545454546707,288
1,-2.1269356984480297,288
1,-2.1164168514413886,289
1,-2.1164168514413886,289
1,-2.105898004434748,289
1,-2.095379157428107,289
1,-2.0848603104213694,289
1,-2.0743414634147284,290
1,-2.0638226164080873,290
1,-2.053303769401446,290
1,-2.042784922394806,290
1,-2.032266075388165,290
1,-2.021747228381524,290
1,-2.021747228381524,290
1,-2.011228381374883,290
1,-2.0007095343682417,290
1,-1.9901906873615045,290
1,-1.9796718403548634,290
1,-1.9691529933482224,290
1,-1.9586341463415817,290
1,-1.9481152993349407,290
1,-1.9375964523282998,290
1,-1.9375964523282998,290
1,-1.9270776053216587,290
1,-1.9165587583150179,290
1,-1.9060399113083768,290
1,-1.895521064301736,290
1,-1.885002217295095,290
1,-1.874483370288454,290
1,-1.8639645232818132,290
1,-1.8534456762751723,290
1,-1.8534456762751723,290
1,-1.8429268292684347,289
1,-1.8324079822617938,289
1,-1.8218891352551527,289
1,-1.8113702882485119,288
1,-1.800851441241871,287
1,-1.7903325942351334,287
1,-1.7798137472284925,287
1,-1.7692949002218514,287
1,-1.7587760532152106,286
1,-1.7587760532152106,286
1,-1.7482572062085697,285
1,-1.7377383592019287,285
1,-1.727219512195288,285
1,-1.7167006651885504,284
1,-1.7061818181819093,284
1,-1.6956629711752684,284
1,-1.6851441241686274,283
1,-1.6746252771619867,282
1,-1.6641064301553457,282
1,-1.6641064301553457,282
1,-1.6535875831487048,282
1,-1.6430687361420637,281
1,-1.6325498891354226,280
1,-1.6220310421287818,280
1,-1.6115121951221407,280
1,-1.6009933481155,280
1,-1.590474501108859,280
1,-1.590474501108859,280
1,-1.5799556541022182,280
1,-1.5694368070954805,280
1,-1.5589179600888396,280
1,-1.5483991130821988,280
1,-1.5378802660755577,280
1,-1.5273614190689169,280
1,-1.5168425720621792,280
